Game,Desc,Price,Categories,Status
Football Manager 2020,"Run your football club, your way. Every decision counts in Football Manager 2020 with new features and polished game mechanics rewarding planning and progression like never before, empowering managers to develop and refine both your club’s and your own unique identity.","60,99 ","['Sports', 'Team', 'Soccer', 'Management']",In Stock
Polybius,"Polybius is the latest trance-shooter from the creators of Tempest 2000 and TxK, Llamasoft.","72,99 ","['Action', 'Shooter', 'Rail']",In Stock
Crysis Warhead,"In Crysis Warhead, players don the Nanosuit of Sergeant Sykes, also known as 'Psycho', one of the most memorable characters from Crysis.  More brash and aggressive than his Delta Force squadmate Nomad, players experience Psycho's parallel story during the events of the original game, finding that life on the other side of the island is even more intense and explosive than they ever could have imag","79,99 ","['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",In Stock
Uncharted: The Lost Legacy,"The first standalone adventure in Uncharted franchise history led by Chloe Frazer. In order to recover a fabled ancient Indian artefact and keep it out of the hands of a ruthless war profiteer, Chloe Frazer must enlist the aid of renowned mercenary Nadine Ross (from Uncharted 4: A Thief's End). Venturing deep into Indias Western Ghats mountain range, Chloe and Nadine must learn to work together to","80,99 ","['Action', 'Action Adventure', 'General']",In Stock
Tom Clancy's Rainbow Six 3: Black Arrow,"A series of attempts to kidnap telemetry and rocket scientists pulls Team Rainbow into a spider web of international intrigue. Team Rainbow must stop terrorists from developing weapons of mass destruction and prevent them from starting a devastating war. Guide Team Rainbow through a new campaign set in Mediterranean and Eastern European level environments, while gathering new weapons and other equ","79,99 ","['Action', 'Shooter', 'First-Person', 'Tactical', 'Modern']",In Stock
Griftlands,Griftlands is a deck-building rogue-like where you fight and negotiate your way through a broken-down sci-fi world.,"77,99 ","['Role-Playing', 'Strategy', 'Turn-Based', 'General', 'Card Battle']",In Stock
ZEN Pinball 2: Aliens Vs. Pinball,"Survive Xenomorph encounters in three thrilling pinball tables inspired by the ALIEN franchise. 

- Join Ellen Ripley as she confronts the Alien Queen and helps the Colonial Marines eliminate LV-426's alien infestation on the Aliens Pinball table

- Help Amanda Ripley survive the dangerous halls of Sevastopol Station while evading a merciless Xenomorph on the Alien: Isolation Pinball table

- Defe","61,99 ","['Action', 'Pinball']",In Stock
Bit.Trip Complete,"All six BIT.TRIP games are transformed into 3D, morphing into a single entity called /BIT.TRIP SAGA/. Experience the crushing difficulty of the rhythmic galaxies and ride along the long journey with CommanderVideo as he completes his mission and returns...home.","81,99 ","['Miscellaneous', 'Compilation']",In Stock
Classic NES Series: Super Mario Bros.,"Classic NES Series: Super Mario Bros. takes you back to the very first battle between Mario and Bowser. Now on the Game Boy Advance, you can relive all the mushroom-eating, Koopa-stomping action from the original game. Always strive for the high score while jumping on top of flag poles, pipes, and bricks. This time, two players can alternate play with a single Game Pak or with GBAs linked by a Gam","85,99 ","['Action', 'Platformer', '2D']",In Stock
Age of Mythology: The Titans,"Age of Mythology: The Titans Expansion adds a fourth mythology, the Atlanteans, to the existing Greek, Egyptian and Norse mythologies. A new single-player campaign will add yet another chapter to the franchise's expansive folklore along with the addition of new scenarios. Atlantean players will be able to call upon the might of the Titan gods (such as Atlas and Cronus) multiple times throughout th","88,99 ","['Strategy', 'Real-Time', 'Fantasy', 'General']",In Stock
SimCity 4,"PLAY GOD - Sculpt mountains, gouge valleys, seed forests, and bring forth animals to create a world imagined only by you. Summon volcanoes, release tornadoes, and call down meteors and ligthening. PLAY MAYOR - Connect a massive region of SimCities, each sharing and competing for resources. Deploy emergency vehicles and join in the action as they battle blazes, mobs, and more. PLAY WITH YOUR SIMS -","87,99 ","['Strategy', 'City Building', 'Management', 'Modern', 'Government']",In Stock
Sega Soccer Slam,"A host of diverse teams from across the globe unite on the green for intense three-on-three matches of soccer. Not your ordinary soccer game, Sega Soccer Slam involves violent tackles, killer kicks, and spotlight maneuvers. In Quest mode, you can take any team through a series of matches, while unlocking secret stadium locations and gaining access to hidden power-ups. Alternative gameplay options ","77,99 ","['Sports', 'Traditional', 'Soccer', 'Arcade']",In Stock
Spider-Man: Mysterio's Menace,"Mysterio, the Master of Illusion, is using his powers to change New York City into his very own sinister amusement park. Lucky for the Big Apple, he's forgotten one thing: you're Spider-Man, and for one power-hungry super-villain, that means playtime's over.","78,99 ","['Action', 'General']",In Stock
Super Mario Advance,"Mario's Game Boy Advance debut gives gamers two games in one: an enhanced version of Super Mario Bros. 2 and an action-packed four-player version of the original Mario Bros. arcade game.  First released for the original NES in 1988, Super Mario Bros. 2 makes its debut on the Game Boy Advance with new enemies, improved graphics, and tougher challenges.  Mario, Luigi, Peach, and Toad adventure throu","73,99 ","['Action', 'Platformer', '2D']",In Stock
Microsoft Train Simulator,"Take control of three engine types -- the electric-powered Acela HHP-8, the diesel Dash-9, and the steam-driven Flying Scotsman -- on a variety of real-life routes, including Japan's Kyushu and Shinjuku-Hakone lines, the US?s Northeast Corridor and Marias Pass, and Europe?s Settle & Carlisle and Orient Express.","76,99 ","['Simulation', 'Train', 'Vehicle']",In Stock
San Francisco Rush 2049,"San Francisco Rush 2049 - the original arcade racing game with 3 action-packed games in one! Race Mode - Scream through futuristic San Francisco tracks. Stunt Mode - Insane air and gravity-defying tricks. Battle Mode - Lock and load your way through 8 killer battle arenas. Loaded with other great features: 19 all-new tracks, 13 selectable cars, 1 - 4 player modes, all-new online competition, and n","86,99 ","['Driving', 'Racing', 'Futuristic']",In Stock
WipeOut 64,"The fastest races. The deadliest weapons. The biggest name in anti-gravity racing descends on N64 with incredible new visual power and fully enhanced gameplay glory. With blistering races, challenges, time trials and a multiplay league, Wipeout 64 delivers pure racing devastation. Faster than you can imagine.","75,99 ","['Driving', 'Racing', 'Futuristic']",In Stock
Dead or Alive,"The fighting game  you've been waiting for...Purist fighting for purist fighting fans. No lightening bolts, no magic tricks, no weapons...Your survival is all in your own hands.","85,99 ","['Action', 'Fighting', '3D']",In Stock
Magic: The Gathering Arena,"You know the name. Now download and get ready for the most colossal crossover card set in Magic: The Gathering's history. Unlock powerful decks, earn rewards by playing, and jump into action for players of all skill levels.","31,99 ","['Strategy', 'Turn-Based', 'Card Battle']",In Stock
Lair of the Clockwork God,A fast-paced Point-and-Click adventure AND an indie platfomer in one! Join adventurer Ben and wannabe indie darling Dan in a race against time to stop all the Apocalypses happening at the same time.,"74,99 ","['Adventure', 'General']",In Stock
"Snipperclips Plus: Cut It Out, Together!","Partner up with friends or family to solve puzzles, including new comic book and toy box worlds, 3 new activities, and a new stamp mode. Plus, play the original levels in new shapes. If you're new to the game, you can purchase this expanded version at retail. Owners of the original version can purchase and download this additional content in Nintendo eShop on Nintendo Switch. Snip may need to cut ","81,99 ","['Puzzle', 'General']",In Stock
Tails Of Iron,"Set in a grim land plagued by war, Tails of Iron is a hand-drawn RPG Adventure with punishingly brutal combat. As Redgi, heir to the Rat Throne, you must restore your broken Kingdom by banishing the merciless Frog Clan and their ferocious leader, Greenwart. As you explore the deceivingly charming world, you'll encounter a cast of unique companions, ready to aid you in your adventure. And you'll ne","84,99 ","['Role-Playing', 'Action RPG']",In Stock
Hatsune Miku: Project Diva Future Tone - Colorful Tone,"Explore the infinite world of Hatsune Miku through the most comprehensive Project Diva game ever released! Hatsune Miku: Project Diva Future Tone Prelude comes with two songs and modules to customize. To unlock the full potential of Future Tone, purchase two packs bursting with 220 songs: Future Sound and Colorful Tone. [Playstation.com]","77,99 ","['Action', 'Rhythm', 'Music']",In Stock
Hatsune Miku: Project Diva Future Tone - Future Sound,"Explore the infinite world of Hatsune Miku through the most comprehensive Project Diva game ever released! Hatsune Miku: Project Diva Future Tone Prelude comes with two songs and modules to customize. To unlock the full potential of Future Tone, purchase two packs bursting with 220 songs: Future Sound and Colorful Tone. [Playstation.com]","75,99 ","['Action', 'Rhythm', 'Music']",In Stock
Dark Void Zero,"[DSiWare]  As the '80s were drawing to a close, the developers at Capcom began work on a top-secret project that aimed to set new standards for the platformer genre. That game was called Dark Void. Alas, Capcom suspended development on Dark Void as it began to evaluate the SNES. Before long, the game was shelved and drifted, unnoticed, into the annals of gaming history. Dark Void became a legendar","72,99 ","['Action', 'Platformer', '2D']",In Stock
Etrian Odyssey IV: Legends of the Titan,"Etrian Odyssey IV: Legends of the Titan has players board their skyship and set out into the clouds in search of treasure, glory, and the answer to Tharsis' oldest mystery.","83,99 ","['Role-Playing', 'First-Person', 'General', 'Western-Style']",In Stock
Black Mesa,"Black Mesa is a re-envisioning of Valve Software's seminal game Half-Life. You will re-visit the inaugural role of Gordon Freeman and his memorable journey through the Black Mesa Research Facility. Expect detailed environments to explore, a huge cast of characters and experimental weaponry. All-new music, voice acting, choreography and added dialogue give way to a more expansive and immersive expe","89,99 ","['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",In Stock
Rise of Nations: Rise of Legends,"Rise of Nations: Rise of Legends evolves the franchise's trademark features such as borders, large-scale battles and city-building in innovative ways. Players are able to transform small villages into powerful civilizations and lead vast fantasy armies into strategic battles using formations, unit control and heroic abilities to destroy the enemy. The popular Conquer the World (CTW) Campaign retur","84,99 ","['Strategy', 'Real-Time', 'Fantasy', 'General']",In Stock
FRU,"FRU is a puzzle platformer featuring an innovative use of Kinect, in which your silhouette becomes a ""portal"" between two worlds. You find yourself solving puzzles by strategically positioning your body, combining physical interaction with traditional platforming. Every level can be solved in multiple ways, with different poses. [Xbox.com]","69,99 ","['Miscellaneous', 'Puzzle', 'Action']",In Stock
FTL: Faster Than Light,"You manage the Kestrel and its crew as you explore the galaxy. Strategic, real-time combat involves managing power between essential systems and choosing which enemy systems to target. Meanwhile, you control your crew to keep the ship functioning and fight off intruders. The combat is difficult but, being a ""roguelike-like"" game, frequent permadeath is at the core of the experience.

While explori","84,99 ","['Simulation', 'Sci-Fi', 'Space', 'Small Spaceship', 'Combat']",In Stock
Dragon Quest V: Hand of the Heavenly Bride,"This entry in the Zenithia Trilogy follows a journey that transcends three generations. Travel alongside your father on his quest to see the world, grow to set forth on a journey of your own and face life-altering decisions as you continue your family’s legacy. [Square Enix]","86,99 ","['Role-Playing', 'Console-style RPG', 'Japanese-Style']",In Stock
Xenoblade Chronicles X,"Fight for survival while exploring the vast expanses of an unknown planet where anything you see is reachable in your weaponized mech, called a Skell. Customize a lethal skill set of combat and defensive skills, called Arts, to strengthen your strategies and defeat enemies efficiently. Attack your enemies from multiple directions using melee weapons, guns, and your greatest asset—your tactical min","91,99 ","['Action RPG', 'Role-Playing']",In Stock
Ace Combat 5: The Unsung War,"(Also known as ""Ace Combat 5: Squadron Leader"")  With more than 50 different licensed planes and an intense storyline extending over 30 missions, players will be put to the ultimate test, including air-to-air combat, air-to-ground fighting, air-to-sea assaults, rescue, recon and much more. Incorporating ultra-realistic beautifully rendered in-game graphics and cinematics along with unparalleled ga","89,99 ","['Simulation', 'Flight', 'Modern Jet']",In Stock
Guacamelee! 2,"Head back to the Mexiverse in this sequel to Guacamelee! Uppercut your way to victory across stunning new hand-crafted levels. Featuring full 4-player co-op, fancy new wrestling moves, sassy new bosses, twice the enemies, and 300% more chickens.","75,99 ","['Action', 'Platformer', '2D']",In Stock
Resogun,"RESOGUN is a visceral fast-paced shoot em' up developed exclusively for the PS4 system. Unleash a varied array of devastating weapons including lasers, missiles, overdrive, and nova-bombs to blast hordes of enemies and rescue the last survivors from distant galactic colonies that are under ruthless attack from an evil alien invasion force.","77,99 ","['Shooter', 'Scrolling', 'Action', '""Shoot-Em-Up""', 'Horizontal']",In Stock
DEFCON: Everybody Dies,"Inspired by the 1983 cult classic film, ""Wargames,"" DEFCON superbly evokes the tension, paranoia and suspicion of the Cold War era, playing on the fascinating aspects of psychological gameplay that occur during strategic nuclear warfare. You play a General hidden deep within an underground bunker. Your mission is to successfully exterminate your enemy's civilian population whilst saving your own. ","83,99 ","['Strategy', 'Real-Time', 'Sci-Fi', 'General']",In Stock
Tom Clancy's The Division 2,"Set in Washington D.C., the game takes place 7 months after a deadly virus was released in New York City and the nation has become a shell of its former self. While the virus has been contained, its effects are most evident in the devastated streets of the nation's capital where survivors cling to hope and struggle to rebuild. Enter The Division, a unit of civilian sleeper agents who now must work","46,99 ","['First-Person', 'Action', 'Shooter', 'Third-Person', 'Tactical']",In Stock
Pinball FX 2: Marvel Pinball - Vengeance and Virtue,Vengeance and Virtue contains four new tables for Marvel Pinball.,"84,99 ","['Pinball', 'Action', 'Miscellaneous', 'Parlor']",In Stock
NASCAR: Dirt to Daytona,"Dirt to Daytona challenges players in the ultimate NASCAR Career Mode. The only game to include 4 different NASCAR racing series. Racing to win is the key for drivers hoping to advance from small town dirt tracks to modified cars, to trucks and eventually the highly prized NASCAR Winston Cup cars. Learn the harsh realities of the racing world where losing can cost drivers not only points in the st","88,99 ","['Driving', 'Racing', 'Stock Car']",In Stock
Puyo Pop,"Help Arle and Carbuncle make their way home! Take on all of the wacky characters you meet in challenging games of Puyo Pop so you can make your way through the land and back to safety. It's a mad scramble to erase Puyo, create chain combos, and fill up your opponent's playfield in this fast-paced puzzle game.","72,99 ","['Miscellaneous', 'Puzzle', 'Matching']",In Stock
Rayman Advance,It's a great platformer and one among many games in the Game Boy Advance launch lineup that's easy to recommend.,"78,99 ","['Action', 'Platformer', '2D']",In Stock
Saints Row: The Third,"Years after taking Stilwater for their own, the Third Street Saints have evolved from street gang to household brand name, with Saints sneakers, Saints energy drinks and Johnny Gat bobble head dolls all available at a store near you. The Saints are kings of Stilwater, but their celebrity status has not gone unnoticed. The Syndicate, a legendary criminal fraternity with pawns in play all over the g","77,99 ","['Action Adventure', 'Modern', 'Open-World']",In Stock
Gran Turismo 5,"Known for its signature beauty and precision, the highly anticipated racer showcases new jaw-dropping cars, real-life tracks, and diverse racing styles. Gran Turismo promises to deliver exciting advancements to the series in the most comprehensive racing experience ever. [Sony]","78,99 ","['Driving', 'Racing', 'Simulation', 'GT / Street', 'Automobile']",In Stock
Tron 2.0,"TRON 2.0 is the present-day sequel to the 1982 cult film classic that wasa landmark of computerized graphical ingenuity. TRON 2.0, is a story-driven, first-person action game that propels the player into an alternate universe inside a computer. As Jet Bradley (son of the original films hero Alan Bradley) you will combat digital opponents using guns, rods, grenades, missiles, and the iconic TRON di","83,99 ","['Action', 'Action Adventure', 'Shooter', 'General', 'First-Person', 'Sci-Fi', 'Arcade']",In Stock
NieR: Automata,"The distant future

Invaders from another world attack without warning, unleashing a new type of threat: weapons known as machine lifeforms. In the face of this insurmountable threat, mankind is driven from Earth and takes refuge on the Moon.

The Council of Humanity organizes a resistance of android soldiers in an effort to take back their planet. To break the deadlock, the Resistance deploys a n","86,99 ","['Role-Playing', 'Action RPG']",In Stock
Marvel's Spider-Man: Miles Morales,The latest adventure in the Spider-Man universe will build on and expand 'Marvel's Spider-Man' through an all-new story. Players will experience the rise of Miles Morales as he masters new powers to become his own Spider-Man.,"76,99 ","['Action Adventure', 'Open-World']",In Stock
Pokemon Ultra Moon,"A new light shines on the Alola region.

Take on the role of a Pokemon Trainer and uncover new tales, and unravel the mystery behind the two forms reminiscent of the Legendary Pokemon. With new story additions and features this earns Pokemon Ultra Sun and Pokemon Ultra Moon the name ""Ultra!"" Another adventure is about to begin.

New Pokemon forms have been discovered in the Aloha region in Pokemon","76,99 ","['Role-Playing', 'Trainer']",In Stock
The Darkside Detective: A Fumble in the Dark,"Delouse your room with sage and pack up your travel-sized ouija board, it’s time to re-enter Twin Lakes - America’s 34th most haunted city. Join Detective McQueen as he puzzles his way through 6 chilling cases, risking life and pixelated limb to solve the macabre mysteries that plague the poor town.","79,99 ","['General', 'Adventure', 'Text', 'Point-and-Click']",In Stock
Danmaku Unlimited 3,"Inspired by classic Japanese shooting games, Danmaku Unlimited 3 is a lovingly crafted medley of the best aspects of Japanese bullet hell games, all in a polished, accessible package.

An old school shoot'em up? Why is it worth my time?
Bullet hell style mechanics is having a kind of renaissance with its inclusion in many hit indie games. However if players want to explore more into the world of B","81,99 ","['Action', 'Shooter', '""Shoot-Em-Up""', 'Vertical']",In Stock
Nioh: Complete Edition,"Ready to die? Experience the newest brutal action game from Team NINJA and Koei Tecmo Games. In the age of samurai, a lone traveler lands on the shores of Japan. He must fight his way through the vicious warriors and supernatural Yokai that infest the land in order to find that which he seeks.","70,99 ","['Role-Playing', 'Action RPG']",In Stock
Half-Minute Hero,"As the last wandering sage and final hope for humanity, it is up to the protagonist to somehow transcend time and death to unite these legends and their unique powers in one last battle against the ultimate evil lord. Fast-paced Action for Instant Gratification - A fresh new way to play games, clearing stages in 30-second intervals. Four Completely Different and Unique Game Play Modes - Four disti","79,99 ","['Role-Playing', 'General']",In Stock
Madden NFL 11,"Madden NFL 11 promises to redefine the way you experience the game of football. SIMPLER: From 350 plays down to 1, the all-new GameFlow system puts you in the helmet of an NFL quarterback to execute an authentic, situational game plan, one play at a time. QUICKER: 60 minute game times reduced to as little as 30 minutes; spend more time on the field and less in the playbook. FULL games, HALF the ti","58,99 ","['Sports', 'Traditional', 'Team', 'Football', 'Sim']",In Stock
Age of Empires II: Definitive Edition,"Age of Empires II: Definitive Edition celebrates the 20th anniversary of one of the most popular strategy games ever with stunning 4K Ultra HD graphics, a new and fully remastered soundtrack, and brand-new content, “The Last Khans” with 3 new campaigns and 4 new civilizations.","88,99 ","['Strategy', 'Real-Time', 'Command']",In Stock
Sega Ages: Fantasy Zone,"Take command of the spaceship Opa-Opa and blast your way through various fantastical levels as you try to take out all the enemy bases in each stage. Once you've destroyed the bases, you'll have to beat the stage boss in order to move on to the next level. By using your guns and bombs wisely, you'll be able to take down your enemies and explore each of the crazy environments in this side-scroller.","79,99 ","['Action', 'Shooter', '""Shoot-Em-Up""', 'Horizontal']",In Stock
Mutant Mudds Deluxe,"Love pixels? Fond of platformers? Is there a special place in your heart for the 8-bit and 16-bit era? Want to have fun? Yes!? Well, youve come to the right place, my friend. Mutant Mudds Deluxe is a 12-bit action platformer full of pixels and platforming fun!

Our hero, Max, may be just a 2D sprite, but he can leap into the third dimension by jetting between the background and the foreground play","73,99 ","['Action', 'Platformer', '2D']",In Stock
The Lord of the Rings: The Battle for Middle-Earth II,"Given a new agreement with The Saul Zaentz Company d/b/a Tolkien Enterprises that grants EA the rights to develop games based on the books, in addition to a separate agreement that allows for games based on the New Line Cinema films The Lord of the Rings, The Battle for Middle-earth II will introduce players to depths of the fiction never before explored by EA. With all new content from J.R.R. Tol","78,99 ","['Strategy', 'Real-Time', 'Fantasy', 'General']",In Stock
Classic NES Series: The Legend of Zelda,"In this classic NES game, you'll embark on a quest to find the Triforce, slay Ganon, and save Princess Zelda. The Legend of Zelda comes to the Game Boy Advance, complete with all the dungeons, puzzles, and menacing enemies from the original game. As Link, you can brandish a variety of weapons, including swords, boomerangs, bombs, and arrows. Collect rupees to buy even more weapons and other specia","85,99 ","['Role-Playing', 'Action RPG']",In Stock
Battlefield Vietnam,"The Battlefield franchise enters a new era equipped with more firepower, modernized weaponry and vehicles, and a deeper infantry experience from the jungles to the beaches of Vietnam. From villages on the Ho Chi Minh Trail to the city streets of Hue, wage modern warfare as the United States or North Vietnamese Army (NVA). Select from a variety of characters within the different soldier classes as ","75,99 ","['Action', 'Shooter', 'First-Person', 'Historic', 'Arcade']",In Stock
Medieval: Total War - Viking Invasion,"Medieval: Total War - Viking Invasion challenges players to control eight new factions, including the Vikings themselves, the Saxons, Scots, Irish, Welsh and Picts, and embark on a campaign to dominate the British Isles. With a wealth of new historical heroes, players can lead a range of new units into battle, including Viking Berserkers, Saxon Huscarles and Fyrdmen, while conducting sieges enhanc","83,99 ","['Strategy', 'Real-Time', 'Historic', 'General']",In Stock
NBA 2K3,"Without question, NBA 2K3 is one of the most accurate representations of professional basketball to date.","63,99 ","['Sports', 'Traditional', 'Basketball', 'Sim']",In Stock
Dance Dance Revolution Konamix,"The hottest dancing craze continues with a brand new sequel to Dance Dance Revolution. Straight from the arcades, step into the spotlight and put your skills to the test as you move to the groove. Get ready to dance the night away with all-new songs and game modes. Let the pulsating music and colorful graphics excite your senses while you get your dancin' fix with Dance Dance Revolution KONAMIX.","87,99 ","['Miscellaneous', 'Rhythm', 'Dancing']",In Stock
Street Fighter III: 3rd Strike,"This amazing fighter stars 18 brawlers from the STREET FIGHTER III universe and introduces the new Leap Attack. Plus, a new Grade Judge system evaluates player performance at the end of each match. Huge characters and an innovative Hit-Frame system team up with the return of the Super Arts Fighting Styles. Experience totally seamless animation in the newest chapter of the greatest arcade series ev","87,99 ","['Action', 'Fighting', '2D']",In Stock
Tom Clancy's Ghost Recon 2 Summit Strike,"This expansion pack enhances the gameplay of Tom Clancy's Ghost Recon 2 and offers you more maps, missions, and weapons. It also brings an exciting new 11-mission single-player campaign and expanded multiplayer content.
Follow the Ghosts as they work in concert with a Kazakh military specialist to track down an evil Pakistani warlord and arms dealer!","70,99 ","['Action', 'Shooter', 'First-Person', 'Tactical', 'Modern']",In Stock
Baba Is You,"Baba Is You is a puzzle game in which the rules of the game can be changed during gameplay, leading to surprising and unique interactions. In this tricky puzzler, you don't just make the rules – you are the rules!","80,99 ","['Action Adventure', 'Puzzle', 'Action', 'General']",In Stock
Guild Wars Nightfall,"Guild Wars Nightfall continues the tradition of inviting players to immerse themselves in an epic storyline centered in a vibrant fantasy setting, build personalized characters, compete in head-to-head battles with players from around the world, and find adventure in missions and quests, in a Guild Wars game unlike any players have seen before. Two new professions are introduced in the game; the D","85,99 ","['Role-Playing', 'General', 'Massively Multiplayer']",In Stock
Lara Croft GO,"Lara Croft GO is a turn based puzzle-adventure set in a long-forgotten world. Explore the ruins of an ancient civilization, discover well-kept secrets and face deadly challenges as you uncover the myth of the Queen of Venom.","58,99 ","['Strategy', 'Turn-Based', 'General']",In Stock
Disgaea 2: Cursed Memories,"Darkness is back. Overlord Zenon has cursed the land, and now, Veldime is transforming into a nasty Netherworld. Memories are sterlized, bodies demonized, the world is falling into chaos. The only one unaffected is a young man, Adell. He stands up to fight the curse, but things never go as planned. The haughty daughter of Zenon, a filthy little frog, lovable demon siblings and a washed-up rock sta","70,99 ","['Strategy', 'Turn-Based', 'Fantasy']",In Stock
Minecraft: PlayStation Vita Edition,"The game involves players creating and destroying various types of blocks in a three dimensional environment. The player takes an avatar that can destroy or create blocks, forming fantastic structures, creations and artwork across the various multiplayer servers in multiple game modes.","74,99 ","['Action Adventure', 'Adventure', '3D', 'Sandbox', 'First-Person', 'Fantasy']",In Stock
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,Runner 2 - Future Legend of Rhythm Alien is inspired by the Bit.Trip series originally released on Nintendo platforms.,"78,99 ","['Action', 'Miscellaneous', 'Rhythm', 'Music']",In Stock
The Binding of Isaac,Isaac is a roguelike shooter based on the dungeon structure of Zelda (nes). At its core it controls like Smash TV / Robotron in a randomly generated semi RPG world filled with powerups items and special abilities.,"83,99 ","['Action', 'Action Adventure', 'Shooter', 'Horror', 'Static', '""Shoot-Em-Up""', 'Top-Down']",In Stock
Warhawk,"[Dowloadable Game]  In Warhawk, players experience the thrill of white-knuckle aerial combat with hundreds of enemy fighters, bone-crunching armored assaults and high-intensity infantry combat in a massive, all-out war fought both on the ground and in the skies. During gameplay, players are tasked with protecting their homeland from the invading Chernovan armada. By doing so, players take command ","83,99 ","['Action', 'Simulation', 'Shooter', 'Flight', 'Third-Person', 'Combat', 'Sci-Fi', 'Arcade']",In Stock
Valkyrie Profile 2: Silmeria,"Hundreds of years before Lenneth's tale, another saga lies concealed by the gods. The valkyrie Silmeria once served Odin loyally, but after an incident ignited a conflict between them, Odin forcefully reincarnated her as a human. The human soul that would carry her spirit was that of Alicia, Princess of Dipan. Ordinarily, Silmeria’s consciousness would have been sealed, her spirit dormant until sh","89,99 ","['Role-Playing', 'Console-style RPG']",In Stock
New Super Mario Bros. U,"It was just another dinner at the castle with Mario, Luigi, Toad, and Princess Peach... Until suddenly the vicious Koopa fleet invades Mushroom kingdom airspace and launches a full-scale assault! With Bowser at the helm and his Koopalings each in their own custom airships, the castle is under attack with the Princess trapped inside—and the heroes have been cast out to the four corners of the Mushr","80,99 ","['Action', 'Platformer', '2D']",In Stock
PixelJunk Monsters: Ultimate HD,"What do you get? The 21 Tiki Island levels and 24 Challenge levels from the original PixelJunk Monsters PS3. From the Encore expansion Toki island with 15 levels inspired by arcade classics and the third island, Tum Tum. From the Deluxe Edition a fourth island, Gati Gati with 11 more stages. Not to mention trap towers, gem towers, scuttlers, fire monsters, flying balloon monsters, unlockable conte","76,99 ","['Strategy', 'Real-Time', 'Fantasy', 'Defense']",In Stock
Rift,"The graphically stunning online game is set in a world being torn apart by dimensional ""rifts"" that tear into the land of Telara, releasing powerful forces that threaten the very existence of the entire universe. Rifts and other dynamic events can be triggered by players, scheduled by the development team, or even occur spontaneously. Dynamic events within the game can lead to a range of changes a","73,99 ","['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Fantasy']",In Stock
Zero Escape: Virtue's Last Reward,"Zero Escape: Virtue's Last Reward has players taking on the Nonary Game again, as it's back and more deadly than ever.","88,99 ","['Adventure', 'General', 'Visual Novel']",In Stock
Project CARS 2,"Project CARS 2 is the next evolution in the award-winning racing series, featuring the most iconic cars racing under the most thrilling conditions to deliver the Ultimate Driver Journey.

Created by gamers, tested by world-class racing drivers from Team SMS-R, and the definitive choice of Esports pros... Project CARS 2 captures the essence of real racing in the most beautiful, intense, authentic, ","72,99 ","['Racing', 'Simulation', 'Automobile']",In Stock
Child of Eden,"Child of Eden thrusts the player into the center of a battle to save Project Lumi, a mission to reproduce a human personality inside Eden, the archive of all human memories. As the project nears completion, the archive is invaded by an unknown virus. The player's mission is to save Eden from the virus, restoring hope and peace.","79,99 ","['Action', 'Shooter', 'Third-Person', 'Rail', 'Fantasy']",In Stock
Shift 2: Unleashed,Shift 2 Unleashed combines violence and excitement in this racing experience.,"61,99 ","['Driving', 'Racing', 'Simulation', 'GT / Street', 'Automobile']",In Stock
Sid Meier's Civilization IV: Warlords,"An all-new expansion pack, Warlords pays homage to some of history's greatest military leaders, delivering six new scenarios, giving players the chance to change the course of history with the help of their new powerful ""warlord"" unit. The expansion pack is loaded with new civilizations, new leaders and more units, resources and wonders that can be used in both single and multiplayer games. [2K Ga","81,99 ","['Strategy', 'Turn-Based', 'Historic', '4X']",In Stock
The Blackwell Epiphany,"A dead man’s soul cries out against the force of a ferocious blizzard. He cries for help. He cries for answers. Then he screams as he is torn apart like damp tissue paper. This wasn’t the first time, and it won’t be the last. The police are powerless to stop it, so the duty falls to the only ones who can. What force could be so powerful – and so malevolent – that it would destroy the very core of ","77,99 ","['General', 'Adventure', 'Point-and-Click']",In Stock
The Lord of the Rings Online: Siege of Mirkwood,"The Epic Conclusion to Volume II: Mines of Moria -  Under the command of Celeborn and Galadriel, players fight through vast armies of Orcs alongside the Elves of Lórien in a battle that will take them to Dol Guldur, the fortress of the Ringwraiths.  This update includes Book 9 and the Epilogue to the sweeping epic tale begun with the award-winning Mines of Moria expansion. Increased Level Cap - Pl","70,99 ","['Role-Playing', 'Massively Multiplayer Online', 'Massively Multiplayer', 'Fantasy']",In Stock
One Finger Death Punch 2,"The world's fastest brawler is back. Experience cinematic kung-fu in the most epic stickman fighter ever made. Staying true to the original, you play with only two buttons. Every press matters, do not button mash!","81,99 ","['Action', 'General', 'Fighting', '2D']",In Stock
Retro City Rampage DX,"A parody of the open-world action genre, Retro City Rampage takes modern game mechanics and mashes them into an authentic 8-bit experience. It's one half fast paced arcade game, the other half a hilarious story mode! It's all the driving and shooting you'd expect and a whole lot more! With missions that twist pages straight from classic game experiences, you get to re-live and rewrite history in a","75,99 ","['Action Adventure', 'Adventure', 'Modern', '3D', 'Open-World', 'Third-Person']",In Stock
